zip,cluster,doctor_count
17086,root_Ac_Ac_Ac,1
17101,root_Ac_Ac_Ac,2
17104,root_Ac_Ac_A,4
17104,root_Ac_Ac_Ac,8
17109,root_A,4
17109,root_Ac_A,2
17109,root_Ac_Ac_A,7
17109,root_Ac_Ac_Ac,8
17110,root_Ac_Ac_A,9
17110,root_Ac_Ac_Ac,10
17111,root_Ac_A,1
17111,root_Ac_Ac_A,3
17111,root_Ac_Ac_Ac,7
17112,root_A,1
17112,root_Ac_A,1
17112,root_Ac_Ac_A,4
17112,root_Ac_Ac_Ac,6
17201,root_A,1
17201,root_Ac_A,2
17201,root_Ac_Ac_A,10
17201,root_Ac_Ac_Ac,10
17202,root_Ac_Ac_Ac,2
17222,root_Ac_Ac_A,1
17225,root_A,1
17225,root_Ac_Ac_A,1
17233,root_A,2
17233,root_Ac_Ac_A,1
17233,root_Ac_Ac_Ac,1
17237,root_Ac_Ac_A,1
17237,root_Ac_Ac_Ac,1
17241,root_A,2
17257,root_Ac_Ac_A,1
17268,root_Ac_Ac_A,1
17268,root_Ac_Ac_Ac,2
17315,root_Ac_Ac_Ac,2
17325,root_Ac_Ac_Ac,3
17331,root_A,2
17331,root_Ac_Ac_A,9
17331,root_Ac_Ac_Ac,4
17333,root_A,1
17339,root_A,1
17339,root_Ac_Ac_A,1
17339,root_Ac_Ac_Ac,2
17362,root_A,3
17362,root_Ac_Ac_A,2
17362,root_Ac_Ac_Ac,2
17401,root_A,1
17402,root_Ac_A,2
17402,root_Ac_Ac_A,8
17402,root_Ac_Ac_Ac,12
17403,root_A,3
17403,root_Ac_A,2
17403,root_Ac_Ac_A,7
17403,root_Ac_Ac_Ac,13
17404,root_Ac_A,1
17404,root_Ac_Ac_A,3
17404,root_Ac_Ac_Ac,4
17406,root_Ac_Ac_A,1
17406,root_Ac_Ac_Ac,1
17408,root_A,1
17408,root_Ac_A,1
17408,root_Ac_Ac_A,4
17408,root_Ac_Ac_Ac,3
17509,root_Ac_Ac_Ac,1
17512,root_Ac_Ac_A,2
17512,root_Ac_Ac_Ac,3
17520,root_Ac_Ac_A,2
17543,root_A,3
17543,root_Ac_A,1
17543,root_Ac_Ac_A,3
17543,root_Ac_Ac_Ac,3
17545,root_Ac_Ac_A,2
17552,root_Ac_Ac_A,1
17554,root_Ac_Ac_A,1
17554,root_Ac_Ac_Ac,1
17566,root_Ac_Ac_Ac,2
17572,root_Ac_Ac_A,1
17572,root_Ac_Ac_Ac,1
17579,root_Ac_Ac_A,1
17579,root_Ac_Ac_Ac,1
17584,root_Ac_Ac_A,3
17584,root_Ac_Ac_Ac,3
